sort_order	id	title_en	title_my	description_en	description_my	sheet_name	enabled	badge_en	badge_my	source_file	current_data_url	title_key	description_key	badge_key
1	puhekieli	Spoken Finnish (puhekieli)	စကားပြော Finnish (puhekieli)	100 common spoken Finnish words for everyday life.	နေ့စဉ်ဘဝအတွက် အသုံးများသော စကားပြော Finnish စကားလုံး ၁၀၀ လုံး။	puhekieli	TRUE	Active lesson	လက်ရှိ သင်ခန်းစာ	data/puhekieli.json	data/puhekieli.json	categoryPuhekieliTitle	categoryPuhekieliDescription	activeLesson
2	puhekieli_2	Spoken Finnish 2 (puhekieli)	စကားပြော Finnish ၂ (puhekieli)	85 common spoken Finnish words for everyday life.	နေ့စဉ်ဘဝအတွက် အသုံးများသော စကားပြော Finnish စကားလုံး ၈၅ လုံး။	puhekieli_2	TRUE	Active lesson	လက်ရှိ သင်ခန်းစာ	data/puhekieli_2.json	data/puhekieli_2.json	categoryPuhekieli2Title	categoryPuhekieli2Description	activeLesson
3	helsinki-slang	Helsinki Slang	Helsinki Slang	131 local words and expressions used around Helsinki.	Helsinki တွင် သုံးသော ဒေသခံ စကားလုံးနှင့် အသုံးအနှုန်း ၁၃၁ ခု။	helsinki_slang	TRUE	Active lesson	လက်ရှိ သင်ခန်းစာ	data/helsinki_slang.json	data/helsinki_slang.json	categoryHelsinkiTitle	categoryHelsinkiDescription	activeLesson
4	workplace-finnish	Workplace Finnish	အလုပ်ခွင် Finnish	Useful Finnish for jobs, meetings, and messages.	အလုပ်၊ အစည်းအဝေးနှင့် မက်ဆေ့ချ်များအတွက် အသုံးဝင်သော Finnish။	workplace_finnish	FALSE	Coming soon	မကြာမီလာမည်			categoryWorkplaceTitle	categoryWorkplaceDescription	comingSoon
